,Product,Price,Rating,No. of Ratings,No. of Reviews,images
0,"APPLE iPhone 14 (Blue, 128 GB)",66999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
1,"APPLE iPhone 14 (Purple, 128 GB)",67999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
2,"APPLE iPhone 14 (Midnight, 128 GB)",66999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
3,"APPLE iPhone 14 Plus (Blue, 128 GB)",75999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
4,"APPLE iPhone 11 (White, 64 GB)",37999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/k/y/d/iphone-11-256-u-mwm82hn-a-apple-0-original-imafkg25mhaztxns.jpeg?q=70
5,"APPLE iPhone 11 (Black, 64 GB)",37999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
6,"APPLE iPhone 13 (Starlight, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70
7,"APPLE iPhone 14 (Starlight, 128 GB)",67999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
8,"APPLE iPhone 13 (Blue, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70
9,"APPLE iPhone 13 (Midnight, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70
10,"APPLE iPhone 14 Plus (Midnight, 128 GB)",75999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70
11,"APPLE iPhone 14 (Blue, 256 GB)",76999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
12,"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)",75999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70
13,"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)",59499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/m/7/iphone-13-mlpj3hn-a-apple-original-imag6vpyk3w4zarg.jpeg?q=70
14,"APPLE iPhone 14 (Starlight, 256 GB)",76999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/o/b/-original-imaghx9qkugtbfrn.jpeg?q=70
15,"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)",66999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
16,"APPLE iPhone 14 Plus (Starlight, 256 GB)",85999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70
17,"APPLE iPhone 14 (Purple, 256 GB)",76999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/b/u/f/-original-imaghxa5hvapbfds.jpeg?q=70
18,"APPLE iPhone 13 (Pink, 128 GB)",60499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70
19,"APPLE iPhone 14 Plus (Blue, 256 GB)",85999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
20,"APPLE iPhone 14 (Midnight, 256 GB)",76999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/e/e/-original-imaghx9q5rvcdghy.jpeg?q=70
21,"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)",85999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/h/7/-original-imaghx9qaepzajta.jpeg?q=70
22,"APPLE iPhone 13 (Midnight, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70
23,"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)",76999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/r/k/o/-original-imaghx9qtwbnhwvy.jpeg?q=70
24,"APPLE iPhone 14 Plus (Purple, 256 GB)",85999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
25,"APPLE iPhone 13 (Starlight, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70
26,"APPLE iPhone 14 Plus (Midnight, 256 GB)",85999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70
27,"APPLE iPhone 14 Pro (Deep Purple, 128 GB)",122999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/8/r/-original-imaghxemnnnkd8bg.jpeg?q=70
28,"APPLE iPhone 14 Pro Max (Deep Purple, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/6/x/j/-original-imaghxejqvpwfqh2.jpeg?q=70
29,"APPLE iPhone 13 (Blue, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70
30,"APPLE iPhone 14 Pro Max (Gold, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/u/6/-original-imaghxen343tbjgj.jpeg?q=70
31,"APPLE iPhone 14 Plus (Purple, 128 GB)",76999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
32,"APPLE iPhone 12 mini (White, 64 GB)",38999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/d/g/b/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfhx4cfzue.jpeg?q=70
33,"APPLE iPhone 14 Pro Max (Silver, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/s/t/-original-imaghxengzjc2djt.jpeg?q=70
34,"APPLE iPhone 11 (Red, 64 GB)",40999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/z/g/iphone-11-128-a-mwm32hn-a-apple-0-original-imafkg25hjmuy98e.jpeg?q=70
35,"APPLE iPhone 11 (White, 128 GB)",43999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/k/y/d/iphone-11-256-u-mwm82hn-a-apple-0-original-imafkg25mhaztxns.jpeg?q=70
36,"APPLE iPhone 11 (Black, 128 GB)",43999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/x/j/s/iphone-11-128-d-mwm02hn-a-apple-0-original-imafkg242ugz8hwc.jpeg?q=70
37,"APPLE iPhone 12 (Black, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
38,"APPLE iPhone 11 (Red, 128 GB)",45999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/q/z/g/iphone-11-128-a-mwm32hn-a-apple-0-original-imafkg25hjmuy98e.jpeg?q=70
39,"APPLE iPhone 14 Pro (Space Black, 128 GB)",122999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/l/p/-original-imaghxemc3wtcuhb.jpeg?q=70
40,"APPLE iPhone 12 (White, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
41,"APPLE iPhone 13 (Green, 128 GB)",60499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70
42,"APPLE iPhone 14 Pro Max (Gold, 256 GB)",142999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/u/6/-original-imaghxen343tbjgj.jpeg?q=70
43,"APPLE iPhone 12 (Purple, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
44,"APPLE iPhone 14 Pro Max (Space Black, 256 GB)",142999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70
45,"APPLE iPhone 12 (Green, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70
46,"APPLE iPhone 12 mini (Red, 256 GB)",52999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/2/u/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfxuhswfgj.jpeg?q=70
47,"APPLE iPhone 13 (Pink, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70
48,"APPLE iPhone 11 (Purple, 64 GB)",40999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/k/z/iphone-11-64-a-mwlx2hn-a-apple-0-original-imafkg24ymsjav9h.jpeg?q=70
49,"APPLE iPhone 12 (Purple, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
50,"APPLE iPhone 14 Pro (Deep Purple, 256 GB)",132999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/8/r/-original-imaghxemnnnkd8bg.jpeg?q=70
51,"APPLE iPhone 12 mini (Black, 256 GB)",52999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/p/d/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfwkfrerak.jpeg?q=70
52,"APPLE iPhone 14 Pro Max (Silver, 512 GB)",162999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/s/t/-original-imaghxengzjc2djt.jpeg?q=70
53,"APPLE iPhone 13 Pro (Alpine Green, 512 GB)",125999,4.6,1369,119,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/c/j/j/-original-imagca5hhzsgpycf.jpeg?q=70
54,"APPLE iPhone 14 Pro Max (Space Black, 128 GB)",132999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70
55,"APPLE iPhone 12 (Red, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
56,"APPLE iPhone 12 (White, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/j/f/9/apple-iphone-12-dummyapplefsn-original-imafwg8dkyh2zgrh.jpeg?q=70
57,"APPLE iPhone 14 Pro Max (Silver, 256 GB)",142999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/s/t/-original-imaghxengzjc2djt.jpeg?q=70
58,"APPLE iPhone 11 (Green, 64 GB)",40999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/u/z/t/iphone-11-256-c-mwmd2hn-a-apple-0-original-imafkg24wszdhzy3.jpeg?q=70
59,"APPLE iPhone 12 (Green, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70
60,"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)",69499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/m/7/iphone-13-mlpj3hn-a-apple-original-imag6vpyk3w4zarg.jpeg?q=70
61,"APPLE iPhone 12 (Black, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
62,"APPLE iPhone 12 (Blue, 128 GB)",56999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70
63,"APPLE iPhone 12 mini (Blue, 256 GB)",52999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/h/f/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfukehtnxv.jpeg?q=70
64,"APPLE iPhone 14 Pro Max (Deep Purple, 512 GB)",162999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/6/x/j/-original-imaghxejqvpwfqh2.jpeg?q=70
65,"APPLE iPhone 14 Pro Max (Gold, 512 GB)",162999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/k/u/6/-original-imaghxen343tbjgj.jpeg?q=70
66,"APPLE iPhone 13 (Green, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/r/q/m/-original-imagca5ajerqpfjy.jpeg?q=70
67,"APPLE iPhone 13 (Blue, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/2/y/o/iphone-13-mlpk3hn-a-apple-original-imag6vpyur6hjngg.jpeg?q=70
68,"APPLE iPhone 14 Pro (Gold, 128 GB)",122999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/i/h/c/-original-imaghxemmqyahnuj.jpeg?q=70
69,"APPLE iPhone 13 (Midnight, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/s/l/c/iphone-13-mlpf3hn-a-apple-original-imag6vzz5qvejz8z.jpeg?q=70
70,"APPLE iPhone 12 mini (Blue, 64 GB)",38999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/h/f/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfukehtnxv.jpeg?q=70
71,"APPLE iPhone 12 mini (Black, 128 GB)",43999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/n/p/d/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfwkfrerak.jpeg?q=70
72,"APPLE iPhone 13 mini (Green, 512 GB)",79990,4.5,3044,265,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/y/j/1/-original-imagca5ge9yrbrzq.jpeg?q=70
73,"APPLE iPhone 14 Plus (Starlight, 512 GB)",105999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70
74,"APPLE iPhone 11 (Purple, 128 GB)",45999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/k/z/iphone-11-64-a-mwlx2hn-a-apple-0-original-imafkg24ymsjav9h.jpeg?q=70
75,"APPLE iPhone 11 (Yellow, 64 GB)",40999,4.6,177344,10540,https://rukminim1.flixcart.com/image/312/312/k2jbyq80pkrrdj/mobile-refurbished/y/y/z/iphone-11-64-a-mwlw2hn-a-apple-0-original-imafkg25qghgbxmm.jpeg?q=70
76,"APPLE iPhone 12 (Black, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/r/h/z/apple-iphone-12-dummyapplefsn-original-imafwg8duby8qbn4.jpeg?q=70
77,"APPLE iPhone 14 Pro (Silver, 128 GB)",122999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/r/e/-original-imaghxeeme2n7hy7.jpeg?q=70
78,"APPLE iPhone 13 Pro Max (Alpine Green, 512 GB)",134999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/2/g/r/-original-imagca5kqvhuscnv.jpeg?q=70
79,"APPLE iPhone 14 Pro Max (Space Black, 512 GB)",162999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70
80,"APPLE iPhone 14 Plus (Midnight, 512 GB)",105999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70
81,"APPLE iPhone 12 (Blue, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70
82,"APPLE iPhone 12 (Green, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/p/f/w/apple-iphone-12-dummyapplefsn-original-imafwg8dubf3nytw.jpeg?q=70
83,"APPLE iPhone 12 (Purple, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/ko0d6kw0/mobile/6/h/y/iphone-12-mjnm3hn-a-apple-original-imag2k2v6ehvnzfd.jpeg?q=70
84,"APPLE iPhone 12 (Blue, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/y/7/n/apple-iphone-12-dummyapplefsn-original-imafwg8dpyjvgg3j.jpeg?q=70
85,"APPLE iPhone 12 mini (White, 128 GB)",43999,4.5,123723,9964,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/d/g/b/apple-iphone-12-mini-dummyapplefsn-original-imafwgbfhx4cfzue.jpeg?q=70
86,"APPLE iPhone 14 Pro (Deep Purple, 1 TB)",172999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/l/8/r/-original-imaghxemnnnkd8bg.jpeg?q=70
87,"APPLE iPhone 13 ((PRODUCT)RED, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/m/7/iphone-13-mlpj3hn-a-apple-original-imag6vpyk3w4zarg.jpeg?q=70
88,"APPLE iPhone 12 Pro (Gold, 512 GB)",105999,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/9/w/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrnpyygbv9.jpeg?q=70
89,"APPLE iPhone 13 mini (Pink, 512 GB)",79990,4.5,3044,265,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/u/p/8/iphone-13-mini-mlk23hn-a-apple-original-imag6vp6btm5zacs.jpeg?q=70
90,"APPLE iPhone 13 Pro Max (Graphite, 512 GB)",134999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/3/e/o/iphone-13-pro-max-mll63hn-a-apple-original-imag6vpgwfgxdsj6.jpeg?q=70
91,"APPLE iPhone 13 (Pink, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/8/z/w/iphone-13-mlph3hn-a-apple-original-imag6vzzhrxgazsg.jpeg?q=70
92,"APPLE iPhone 13 (Starlight, 512 GB)",89499,4.7,178951,9838,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/n/d/iphone-13-mlpg3hn-a-apple-original-imag6vpyghayhhrh.jpeg?q=70
93,"APPLE iPhone 14 Plus (Blue, 512 GB)",105999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70
94,"APPLE iPhone 14 Pro (Space Black, 512 GB)",152999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/y/l/p/-original-imaghxemc3wtcuhb.jpeg?q=70
95,"APPLE iPhone 14 Pro (Gold, 512 GB)",152999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/i/h/c/-original-imaghxemmqyahnuj.jpeg?q=70
96,"APPLE iPhone 14 Pro (Silver, 512 GB)",152999,4.7,476,43,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/h/r/e/-original-imaghxeeme2n7hy7.jpeg?q=70
97,"APPLE iPhone 14 Pro Max (Space Black, 1 TB)",182999,4.7,437,45,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/9/f/p/-original-imaghxenhnpyhn5u.jpeg?q=70
98,"APPLE iPhone 12 (Red, 256 GB)",66999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
99,"APPLE iPhone 13 Pro Max (Gold, 1 TB)",155999,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/6/v/c/iphone-13-pro-max-mllh3hn-a-apple-original-imag6vpgpycue85h.jpeg?q=70
100,"APPLE iPhone 14 (Blue, 512 GB)",96999,4.6,1125,70,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/3/5/l/-original-imaghx9qmgqsk9s4.jpeg?q=70
101,"APPLE iPhone 12 (Red, 64 GB)",52999,4.6,185821,12681,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/q/8/f/apple-iphone-12-dummyapplefsn-original-imafwg8dbzv8vh7t.jpeg?q=70
102,"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)",139900,4.6,1786,174,https://rukminim1.flixcart.com/image/312/312/l0igvww0/mobile/2/g/r/-original-imagca5kqvhuscnv.jpeg?q=70
103,"APPLE iPhone 12 Pro (Gold, 256 GB)",88199,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/s/9/w/apple-iphone-12-pro-dummyapplefsn-original-imafwgbrnpyygbv9.jpeg?q=70
104,"APPLE iPhone 14 Plus (Purple, 512 GB)",105999,4.6,461,53,https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/v/0/t/-original-imaghxa5rgcv5enm.jpeg?q=70
105,"APPLE iPhone 13 Pro (Silver, 1 TB)",144999,4.6,1369,119,https://rukminim1.flixcart.com/image/312/312/ktketu80/mobile/a/e/g/iphone-13-pro-mlvw3hn-a-apple-original-imag6vpcvspnzyfy.jpeg?q=70
106,"APPLE iPhone 12 Pro (Silver, 512 GB)",105999,4.5,1246,92,https://rukminim1.flixcart.com/image/312/312/kg8avm80/mobile/b/v/a/apple-iphone-12-pro-dummyapplefsn-original-imafwgbr45csnczy.jpeg?q=70
